1	3	30	34	36	38
8	15	18	25	34	38
2	3	7	9	16	27
7	12	18	22	33	39
3	4	14	29	32	34
5	19	31	34	35	38
13	15	18	19	24	26
3	4	8	20	24	30
1	3	8	12	14	30
5	11	20	30	31	34
4	6	14	16	17	31
5	14	18	21	34	37
3	4	11	17	22	29
11	16	17	26	33	38
4	17	27	28	29	37
2	8	22	27	33	36
11	25	30	31	33	39
3	5	11	22	31	37
1	6	13	22	29	33
1	5	7	18	19	36
7	11	20	23	26	36
15	23	28	30	33	38
2	8	13	30	32	38
6	12	20	29	37	38
8	20	25	32	37	38
1	10	17	19	32	39
5	6	7	12	22	36
13	15	20	23	29	37
2	6	17	23	29	32
6	11	12	20	23	32
1	2	5	6	7	9
1	12	18	27	28	37
7	12	24	27	29	32
1	4	13	17	23	26
1	8	18	23	25	27
13	20	23	29	32	38
8	11	17	24	25	27
1	8	13	25	28	34
7	9	16	22	34	38
16	21	24	30	31	35
3	11	19	22	25	29
11	25	30	31	33	39
1	3	4	18	35	36
3	11	22	23	25	31
5	9	19	20	24	31
1	4	12	18	23	37
10	24	25	27	28	34
18	22	23	30	33	36
2	7	8	23	36	37
8	10	17	25	27	36
11	13	19	28	31	35
6	9	11	20	24	26
8	12	18	25	28	35
2	13	18	29	33	34
3	8	9	14	28	36
2	3	7	9	16	27
13	16	17	23	25	31
5	8	14	23	29	30
1	14	25	28	29	31
12	20	22	28	37	38
6	19	23	33	35	37
2	12	25	27	32	39
15	19	20	26	27	38
2	14	26	30	33	34
6	12	18	27	29	33
8	9	20	22	27	28
19	21	26	31	38	39
10	13	20	21	34	37
1	14	20	35	38	39
1	3	16	28	31	34
16	21	23	33	36	37
12	22	23	26	28	37
2	7	14	15	31	32
4	25	26	27	36	38
17	18	22	24	26	39
2	4	12	13	15	26
1	2	7	16	38	39
3	6	13	30	33	37
3	4	10	20	23	36
4	8	10	25	26	39
13	14	15	24	33	36
6	17	18	23	27	28
4	6	20	21	24	39
5	13	21	22	25	33
6	7	22	26	32	37
2	4	8	9	28	35
5	15	26	30	33	36
1	4	19	24	26	37
5	11	16	26	32	34
5	15	17	18	22	36
1	14	21	25	28	39
3	12	13	23	35	38
11	15	23	26	35	36
11	12	21	23	31	37
4	20	24	28	34	38
9	10	15	17	24	35
3	6	21	27	28	31
2	3	8	13	15	36
1	9	27	29	30	33
13	14	17	22	23	36
10	13	14	17	34	39
1	15	24	25	28	37
1	8	14	15	20	29
4	6	9	12	25	33
15	22	23	28	32	36
2	6	17	20	35	37
10	13	21	24	26	33
11	14	23	34	36	39
10	12	15	22	32	37
9	20	21	24	25	32
5	10	25	26	28	39
2	6	8	22	36	38
10	12	13	21	26	29
5	10	13	24	25	31
7	15	17	19	22	23
6	8	17	29	35	36
6	16	22	24	29	31
13	16	20	23	34	38
2	20	29	30	34	37
2	8	16	22	23	33
1	2	7	12	22	27
2	12	19	20	38	39
28	31	32	34	35	39
5	8	9	10	15	21
5	8	10	11	23	31
19	28	29	31	35	36
4	13	17	21	25	34
5	8	28	29	31	34
13	19	20	23	29	31
8	10	11	16	20	22
13	15	16	22	28	34
3	5	6	10	24	29
3	4	6	12	28	37
5	6	23	31	34	35
21	22	23	28	29	38
9	23	25	32	33	36
6	12	17	25	31	35
6	8	24	26	36	39
3	6	11	13	33	37
9	16	22	27	34	38
1	4	10	25	33	39
4	9	23	25	26	32
3	11	17	26	38	39
1	3	9	10	21	30
2	3	8	10	16	33
1	2	5	18	27	32
14	16	17	19	26	35
1	2	4	9	30	33
1	5	21	24	27	29
5	7	11	13	20	27
7	8	15	17	21	37
1	14	16	20	22	26
1	2	4	9	29	36
4	8	9	12	25	27
8	11	15	22	28	31
2	4	10	12	30	35
5	6	10	34	36	37
1	7	10	31	33	35
7	11	12	14	15	18
5	14	15	22	29	34
2	3	19	31	36	38
3	24	25	26	36	38
4	7	10	12	31	37
12	18	28	32	36	37
17	18	22	25	31	37
15	19	22	23	30	37
5	7	14	20	31	34
2	4	20	32	38	39
4	13	19	22	23	38
5	8	15	23	31	39
8	11	12	14	15	23
2	11	20	25	32	35
3	4	10	19	26	38
6	8	9	12	20	32
1	22	31	34	37	38
1	7	11	17	26	30
8	14	21	29	38	39
1	5	10	13	26	30
2	5	9	12	26	29
4	12	14	27	31	33
3	14	17	24	29	33
6	11	18	33	34	37
2	4	5	12	21	33
4	18	24	36	37	38
11	12	25	29	30	35
7	16	18	23	32	34
13	14	20	32	35	37
2	13	16	17	18	30
8	10	16	19	33	38
3	20	21	27	33	39
5	7	10	23	24	30
3	6	20	24	33	38
7	16	19	28	30	39
4	11	14	24	33	34
11	16	21	24	28	37
4	10	12	18	33	38
2	12	14	16	26	35
8	15	20	21	28	39
9	10	13	23	29	31
4	9	25	26	27	33
14	19	21	30	35	38
6	8	10	15	24	39
4	8	12	20	32	36
1	2	5	11	21	30
5	9	11	21	34	36
12	16	25	31	36	39
2	14	19	34	37	38
10	14	19	24	29	37
